,x,y,w,h,type
0,142,1873,38,64,Tooth.TOOTH
1,158,1834,49,43,Tooth.TOOTH
2,177,1796,49,43,Tooth.TOOTH
3,196,1763,30,30,Tooth.TOOTH
4,202,1721,48,40,Tooth.TOOTH
5,219,1685,48,40,Tooth.TOOTH
6,243,1655,36,35,Tooth.TOOTH
7,249,1616,48,40,Tooth.TOOTH
8,279,1579,30,30,Tooth.TOOTH
9,281,1545,48,40,Tooth.TOOTH
10,304,1516,30,30,Tooth.TOOTH
11,319,1482,30,30,Tooth.TOOTH
12,337,1437,49,43,Tooth.TOOTH
13,349,1401,48,40,Tooth.TOOTH
14,369,1364,48,40,Tooth.TOOTH
15,396,1330,30,30,Tooth.GAP
16,412,1296,30,30,Tooth.TOOTH
17,422,1253,48,40,Tooth.TOOTH
18,445,1212,48,40,Tooth.TOOTH
19,463,1172,48,40,Tooth.TOOTH
20,485,1133,48,40,Tooth.TOOTH
21,503,1095,48,40,Tooth.TOOTH
22,527,1052,48,40,Tooth.TOOTH
23,551,1010,48,40,Tooth.TOOTH
24,573,968,48,40,Tooth.TOOTH
25,597,925,48,40,Tooth.TOOTH
26,620,881,48,40,Tooth.TOOTH
27,646,834,48,40,Tooth.TOOTH
28,676,793,49,43,Tooth.TOOTH
29,697,751,48,40,Tooth.TOOTH
30,725,708,48,40,Tooth.TOOTH
31,766,670,30,30,Tooth.GAP
32,792,622,49,43,Tooth.TOOTH
33,819,576,48,40,Tooth.TOOTH
34,857,539,44,44,Tooth.TOOTH
35,884,499,48,40,Tooth.TOOTH
36,924,468,49,43,Tooth.TOOTH
37,972,437,30,30,Tooth.TOOTH
38,1005,393,48,40,Tooth.TOOTH
39,1052,365,30,30,Tooth.GAP
40,1100,343,30,30,Tooth.TOOTH
41,1142,321,53,48,Tooth.TOOTH
42,1207,313,30,30,Tooth.TOOTH
43,1248,292,38,60,Tooth.TOOTH
44,1292,289,38,60,Tooth.CENTER_T
45,1337,288,38,64,Tooth.TOOTH
46,1383,301,38,60,Tooth.TOOTH
47,1429,307,38,64,Tooth.TOOTH
48,1485,330,38,60,Tooth.TOOTH
49,1530,347,46,53,Tooth.TOOTH
50,1577,394,48,40,Tooth.TOOTH
51,1631,436,49,43,Tooth.TOOTH
52,1675,484,30,30,Tooth.GAP
53,1704,503,49,43,Tooth.TOOTH
54,1739,538,38,60,Tooth.TOOTH
55,1776,597,30,30,Tooth.TOOTH
56,1803,623,38,60,Tooth.TOOTH
57,1830,669,49,43,Tooth.TOOTH
58,1856,716,48,40,Tooth.TOOTH
59,1881,759,49,43,Tooth.TOOTH
60,1911,802,30,30,Tooth.GAP
61,1929,855,36,35,Tooth.TOOTH
62,1953,881,49,43,Tooth.TOOTH
63,1972,923,49,43,Tooth.TOOTH
64,1994,962,49,43,Tooth.TOOTH
65,2022,1008,68,44,Tooth.TOOTH
66,2040,1052,64,44,Tooth.TOOTH
67,2061,1093,49,43,Tooth.TOOTH
68,2083,1135,64,44,Tooth.TOOTH
69,2108,1191,30,30,Tooth.TOOTH
70,2118,1216,48,40,Tooth.TOOTH
71,2139,1257,48,40,Tooth.TOOTH
72,2154,1294,48,40,Tooth.TOOTH
73,2184,1337,30,30,Tooth.GAP
74,2198,1374,30,30,Tooth.TOOTH
75,2212,1403,48,40,Tooth.TOOTH
76,2227,1440,48,40,Tooth.TOOTH
77,2249,1471,30,30,Tooth.TOOTH
78,2257,1512,48,40,Tooth.TOOTH
79,2273,1550,48,40,Tooth.TOOTH
80,2298,1586,30,30,Tooth.GAP
81,2302,1623,48,40,Tooth.TOOTH
82,2330,1665,30,30,Tooth.TOOTH
83,2332,1694,48,40,Tooth.TOOTH
84,2351,1730,48,40,Tooth.TOOTH
85,2378,1775,30,30,Tooth.TOOTH
86,2380,1807,48,40,Tooth.TOOTH
87,2411,1839,30,30,Tooth.GAP
88,2419,1874,53,48,Tooth.TOOTH
