,x,y,w,h,type
0,67,1875,30,30,Tooth.TOOTH
1,89,1825,36,35,Tooth.TOOTH
2,103,1788,30,30,Tooth.GAP
3,121,1723,38,64,Tooth.TOOTH
4,134,1688,30,30,Tooth.TOOTH
5,150,1651,30,30,Tooth.TOOTH
6,164,1611,53,48,Tooth.TOOTH
7,196,1550,68,44,Tooth.TOOTH
8,210,1508,68,44,Tooth.TOOTH
9,220,1467,49,43,Tooth.TOOTH
10,246,1437,30,30,Tooth.TOOTH
11,250,1395,49,43,Tooth.TOOTH
12,262,1359,48,40,Tooth.TOOTH
13,278,1321,48,40,Tooth.TOOTH
14,296,1283,48,40,Tooth.TOOTH
15,312,1246,48,40,Tooth.TOOTH
16,327,1209,48,40,Tooth.TOOTH
17,345,1168,48,40,Tooth.TOOTH
18,369,1123,49,43,Tooth.TOOTH
19,387,1083,49,43,Tooth.TOOTH
20,411,1051,30,30,Tooth.GAP
21,425,1004,49,43,Tooth.TOOTH
22,447,959,49,43,Tooth.TOOTH
23,468,915,49,43,Tooth.TOOTH
24,489,872,49,43,Tooth.TOOTH
25,510,829,49,43,Tooth.TOOTH
26,532,782,49,43,Tooth.TOOTH
27,555,734,49,43,Tooth.TOOTH
28,583,695,30,30,Tooth.GAP
29,609,644,38,60,Tooth.TOOTH
30,629,605,49,43,Tooth.TOOTH
31,657,559,49,43,Tooth.TOOTH
32,694,509,38,60,Tooth.TOOTH
33,718,468,49,43,Tooth.TOOTH
34,750,438,30,30,Tooth.TOOTH
35,785,380,38,60,Tooth.TOOTH
36,818,366,30,30,Tooth.GAP
37,854,315,38,60,Tooth.TOOTH
38,878,308,30,30,Tooth.GAP
39,915,278,30,30,Tooth.TOOTH
40,935,242,49,43,Tooth.TOOTH
41,983,209,38,60,Tooth.TOOTH
42,1040,212,30,30,Tooth.GAP
43,1084,174,38,60,Tooth.TOOTH
44,1147,173,30,30,Tooth.TOOTH
45,1181,160,38,60,Tooth.CENTER_T
46,1224,156,38,64,Tooth.TOOTH
47,1272,167,38,60,Tooth.TOOTH
48,1329,188,30,30,Tooth.GAP
49,1378,186,38,64,Tooth.TOOTH
50,1425,208,38,64,Tooth.TOOTH
51,1486,259,36,35,Tooth.TOOTH
52,1528,288,46,53,Tooth.TOOTH
53,1574,325,36,35,Tooth.TOOTH
54,1607,359,49,43,Tooth.TOOTH
55,1640,397,49,43,Tooth.TOOTH
56,1679,445,30,30,Tooth.GAP
57,1710,478,49,43,Tooth.TOOTH
58,1739,522,49,43,Tooth.TOOTH
59,1771,566,49,43,Tooth.TOOTH
60,1798,608,49,43,Tooth.TOOTH
61,1829,667,30,30,Tooth.TOOTH
62,1854,696,30,30,Tooth.TOOTH
63,1875,732,64,44,Tooth.TOOTH
64,1895,775,30,30,Tooth.GAP
65,1917,802,46,53,Tooth.TOOTH
66,1946,854,64,44,Tooth.TOOTH
67,1970,904,30,30,Tooth.GAP
68,1995,937,30,30,Tooth.TOOTH
69,2015,977,68,44,Tooth.TOOTH
70,2044,1023,30,30,Tooth.TOOTH
71,2057,1064,68,44,Tooth.TOOTH
72,2082,1111,30,30,Tooth.GAP
73,2091,1135,48,40,Tooth.TOOTH
74,2111,1170,48,40,Tooth.TOOTH
75,2143,1204,30,30,Tooth.TOOTH
76,2152,1243,48,40,Tooth.TOOTH
77,2172,1287,30,30,Tooth.TOOTH
78,2185,1316,48,40,Tooth.TOOTH
79,2219,1354,30,30,Tooth.TOOTH
80,2219,1388,48,40,Tooth.TOOTH
81,2236,1424,48,40,Tooth.TOOTH
82,2252,1461,48,40,Tooth.TOOTH
83,2279,1497,30,30,Tooth.TOOTH
84,2286,1531,48,40,Tooth.TOOTH
85,2304,1567,48,40,Tooth.TOOTH
86,2332,1606,30,30,Tooth.GAP
87,2338,1642,48,40,Tooth.TOOTH
88,2356,1682,48,40,Tooth.TOOTH
89,2375,1722,48,40,Tooth.TOOTH
90,2394,1764,48,40,Tooth.TOOTH
91,2415,1816,48,40,Tooth.TOOTH
92,2432,1875,30,30,Tooth.TOOTH
