,Unnamed: 0,x,y,w,h,type
0,0,134,1865,30,30,Tooth.TOOTH
1,1,146,1827,30,30,Tooth.TOOTH
2,2,165,1773,30,30,Tooth.TOOTH
3,3,188,1722,30,30,Tooth.TOOTH
4,4,201,1682,30,30,Tooth.TOOTH
5,5,211,1655,30,30,Tooth.TOOTH
6,6,216,1626,30,30,Tooth.TOOTH
7,7,228,1595,30,30,Tooth.TOOTH
8,8,251,1552,30,30,Tooth.TOOTH
9,9,263,1499,30,30,Tooth.TOOTH
10,10,278,1458,64,44,Tooth.TOOTH
11,11,295,1412,64,44,Tooth.TOOTH
12,12,312,1371,68,44,Tooth.TOOTH
13,13,340,1337,30,30,Tooth.TOOTH
14,14,348,1279,64,44,Tooth.TOOTH
15,15,363,1235,64,44,Tooth.TOOTH
16,16,378,1193,64,44,Tooth.TOOTH
17,17,408,1113,68,44,Tooth.TOOTH
18,18,427,1070,68,44,Tooth.TOOTH
19,19,456,1032,30,30,Tooth.TOOTH
20,20,461,981,68,44,Tooth.TOOTH
21,21,479,935,64,44,Tooth.TOOTH
22,22,503,895,64,44,Tooth.TOOTH
23,23,518,855,68,44,Tooth.TOOTH
24,24,541,806,64,44,Tooth.TOOTH
25,25,556,763,64,44,Tooth.TOOTH
26,26,580,727,30,30,Tooth.TOOTH
27,27,595,671,64,44,Tooth.TOOTH
28,28,618,633,30,30,Tooth.GAP
29,29,638,577,64,44,Tooth.TOOTH
30,30,662,527,64,44,Tooth.TOOTH
31,31,693,478,30,30,Tooth.GAP
32,32,719,441,30,30,Tooth.TOOTH
33,33,736,391,49,43,Tooth.TOOTH
34,34,758,367,30,30,Tooth.GAP
35,35,796,301,49,43,Tooth.TOOTH
36,36,846,262,30,30,Tooth.TOOTH
37,37,881,229,30,30,Tooth.TOOTH
38,38,909,187,30,30,Tooth.TOOTH
39,39,953,165,30,30,Tooth.GAP
40,40,990,120,38,60,Tooth.TOOTH
41,41,1037,97,49,43,Tooth.TOOTH
42,42,1101,79,30,30,Tooth.TOOTH
43,43,1152,68,38,60,Tooth.CENTER_T
44,44,1201,57,38,60,Tooth.TOOTH
45,45,1250,67,49,43,Tooth.TOOTH
46,46,1297,64,48,40,Tooth.TOOTH
47,47,1350,73,48,40,Tooth.TOOTH
48,48,1408,92,30,30,Tooth.TOOTH
49,49,1459,118,38,60,Tooth.TOOTH
50,50,1505,148,38,60,Tooth.TOOTH
51,51,1544,205,48,40,Tooth.TOOTH
52,52,1588,234,49,43,Tooth.TOOTH
53,53,1621,277,48,40,Tooth.TOOTH
54,54,1653,325,30,30,Tooth.GAP
55,55,1691,355,49,43,Tooth.TOOTH
56,56,1722,396,49,43,Tooth.TOOTH
57,57,1756,452,30,30,Tooth.GAP
58,58,1783,488,38,60,Tooth.TOOTH
59,59,1810,535,38,60,Tooth.TOOTH
60,60,1837,611,30,30,Tooth.GAP
61,61,1849,633,48,40,Tooth.TOOTH
62,62,1886,691,30,30,Tooth.TOOTH
63,63,1902,709,30,30,Tooth.TOOTH
64,64,1921,749,38,60,Tooth.TOOTH
65,65,1947,800,64,44,Tooth.TOOTH
66,66,1961,842,49,43,Tooth.TOOTH
67,67,1990,887,30,30,Tooth.TOOTH
68,68,1997,905,48,40,Tooth.TOOTH
69,69,2020,952,49,43,Tooth.TOOTH
70,70,2043,994,64,44,Tooth.TOOTH
71,71,2061,1038,64,44,Tooth.TOOTH
72,72,2081,1082,64,44,Tooth.TOOTH
73,73,2106,1124,64,44,Tooth.TOOTH
74,74,2130,1177,30,30,Tooth.TOOTH
75,75,2143,1208,64,44,Tooth.TOOTH
76,76,2164,1265,30,30,Tooth.TOOTH
77,77,2181,1289,49,43,Tooth.TOOTH
78,78,2198,1356,30,30,Tooth.TOOTH
79,79,2205,1386,30,30,Tooth.TOOTH
80,80,2241,1431,30,30,Tooth.TOOTH
81,81,2257,1475,30,30,Tooth.GAP
82,82,2278,1505,64,44,Tooth.TOOTH
83,83,2315,1565,30,30,Tooth.TOOTH
84,84,2323,1602,30,30,Tooth.TOOTH
85,85,2340,1641,30,30,Tooth.TOOTH
86,86,2358,1683,30,30,Tooth.GAP
87,87,2373,1724,64,44,Tooth.TOOTH
88,88,2405,1782,30,30,Tooth.TOOTH
89,89,2418,1823,30,30,Tooth.TOOTH
90,90,2432,1878,30,30,Tooth.TOOTH
