,x,y,w,h,type
0,210,1836,38,60,Tooth.TOOTH
1,229,1797,30,30,Tooth.GAP
2,261,1669,68,44,Tooth.TOOTH
3,264,1741,64,44,Tooth.TOOTH
4,268,1708,30,30,Tooth.TOOTH
5,269,1628,68,44,Tooth.TOOTH
6,285,1592,30,30,Tooth.TOOTH
7,294,1543,68,44,Tooth.TOOTH
8,302,1495,68,44,Tooth.TOOTH
9,322,1447,64,44,Tooth.TOOTH
10,332,1407,68,44,Tooth.TOOTH
11,350,1364,68,44,Tooth.TOOTH
12,371,1327,30,30,Tooth.GAP
13,383,1270,64,44,Tooth.TOOTH
14,395,1228,68,44,Tooth.TOOTH
15,411,1183,68,44,Tooth.TOOTH
16,427,1136,68,44,Tooth.TOOTH
17,449,1089,30,30,Tooth.TOOTH
18,462,1034,49,43,Tooth.TOOTH
19,477,984,49,43,Tooth.TOOTH
20,502,944,30,30,Tooth.GAP
21,518,883,49,43,Tooth.TOOTH
22,539,836,49,43,Tooth.TOOTH
23,574,802,30,30,Tooth.GAP
24,588,746,49,43,Tooth.TOOTH
25,615,699,49,43,Tooth.TOOTH
26,649,664,30,30,Tooth.GAP
27,672,625,48,40,Tooth.TOOTH
28,709,581,48,40,Tooth.TOOTH
73,759,554,30,30,Tooth.TOOTH
29,805,512,30,30,Tooth.TOOTH
30,853,482,30,30,Tooth.GAP
31,901,465,30,30,Tooth.TOOTH
32,953,458,30,30,Tooth.GAP
33,1013,443,38,60,Tooth.TOOTH
34,1067,453,30,30,Tooth.CENTER_G
35,1110,435,38,60,Tooth.TOOTH
36,1173,454,36,35,Tooth.TOOTH
37,1217,470,36,35,Tooth.TOOTH
38,1268,494,36,35,Tooth.TOOTH
39,1313,521,36,35,Tooth.TOOTH
40,1357,548,46,53,Tooth.TOOTH
41,1408,594,30,30,Tooth.GAP
42,1437,627,48,40,Tooth.TOOTH
43,1478,661,49,43,Tooth.TOOTH
44,1518,716,30,30,Tooth.GAP
45,1551,735,38,60,Tooth.TOOTH
46,1582,780,38,60,Tooth.TOOTH
47,1600,848,30,30,Tooth.GAP
48,1637,884,30,30,Tooth.TOOTH
49,1669,921,49,43,Tooth.TOOTH
50,1686,967,38,60,Tooth.TOOTH
51,1719,1022,30,30,Tooth.TOOTH
52,1742,1058,30,30,Tooth.TOOTH
53,1753,1089,38,60,Tooth.TOOTH
54,1785,1141,30,30,Tooth.TOOTH
55,1800,1186,30,30,Tooth.GAP
56,1837,1204,38,60,Tooth.TOOTH
57,1855,1287,38,64,Tooth.TOOTH
58,1857,1253,30,30,Tooth.GAP
59,1879,1318,30,30,Tooth.GAP
60,1914,1362,53,48,Tooth.TOOTH
61,1936,1423,30,30,Tooth.TOOTH
62,1960,1465,30,30,Tooth.TOOTH
63,1984,1504,30,30,Tooth.TOOTH
64,2005,1534,64,44,Tooth.TOOTH
65,2024,1566,30,30,Tooth.TOOTH
66,2049,1613,64,44,Tooth.TOOTH
67,2062,1654,38,60,Tooth.TOOTH
68,2085,1707,30,30,Tooth.GAP
69,2102,1732,38,64,Tooth.TOOTH
70,2133,1795,30,30,Tooth.TOOTH
71,2149,1822,30,30,Tooth.TOOTH
72,2178,1858,38,60,Tooth.TOOTH
