,Unnamed: 0,x,y,w,h,type
0,0,119,1846,38,60,Tooth.TOOTH
1,1,146,1799,64,44,Tooth.TOOTH
2,2,164,1759,68,44,Tooth.TOOTH
3,3,186,1712,64,44,Tooth.TOOTH
4,4,204,1671,68,44,Tooth.TOOTH
5,5,217,1627,68,44,Tooth.TOOTH
6,60,230,1589,30,30,Tooth.TOOTH
7,6,250,1536,68,44,Tooth.TOOTH
8,7,276,1475,64,44,Tooth.TOOTH
9,59,308,1419,30,30,Tooth.GAP
10,8,320,1356,53,48,Tooth.TOOTH
11,9,338,1318,68,44,Tooth.TOOTH
12,10,355,1277,68,44,Tooth.TOOTH
13,11,391,1189,64,44,Tooth.TOOTH
14,12,407,1147,68,44,Tooth.TOOTH
15,13,429,1106,68,44,Tooth.TOOTH
16,14,446,1062,68,44,Tooth.TOOTH
17,15,463,1021,68,44,Tooth.TOOTH
18,16,488,972,64,44,Tooth.TOOTH
19,81,511,939,30,30,Tooth.GAP
20,17,525,878,38,60,Tooth.TOOTH
21,18,544,843,68,44,Tooth.TOOTH
22,80,569,806,30,30,Tooth.GAP
23,19,590,740,38,60,Tooth.TOOTH
24,20,607,694,49,43,Tooth.TOOTH
25,79,642,658,30,30,Tooth.GAP
26,21,663,595,38,60,Tooth.TOOTH
27,22,684,551,49,43,Tooth.TOOTH
28,78,721,513,30,30,Tooth.GAP
29,23,740,467,49,43,Tooth.TOOTH
30,24,769,424,48,40,Tooth.TOOTH
31,77,803,397,30,30,Tooth.GAP
32,25,837,354,48,40,Tooth.TOOTH
33,76,877,330,30,30,Tooth.GAP
34,26,918,282,48,40,Tooth.TOOTH
35,27,972,252,36,35,Tooth.TOOTH
36,28,1024,233,36,35,Tooth.TOOTH
37,29,1072,208,48,40,Tooth.TOOTH
38,75,1143,212,30,30,Tooth.GAP
39,30,1185,211,48,40,Tooth.CENTER_T
40,74,1253,212,30,30,Tooth.GAP
41,31,1284,205,48,40,Tooth.TOOTH
42,32,1344,229,36,35,Tooth.TOOTH
43,33,1387,244,48,40,Tooth.TOOTH
44,34,1445,274,36,35,Tooth.TOOTH
45,35,1489,305,36,35,Tooth.TOOTH
46,36,1538,348,36,35,Tooth.TOOTH
47,37,1577,387,36,35,Tooth.TOOTH
48,38,1605,423,48,40,Tooth.TOOTH
49,39,1646,459,49,43,Tooth.TOOTH
50,73,1678,505,30,30,Tooth.GAP
51,40,1703,548,48,40,Tooth.TOOTH
52,72,1749,614,30,30,Tooth.GAP
53,71,1776,659,30,30,Tooth.GAP
54,41,1787,694,49,43,Tooth.TOOTH
55,42,1815,739,38,60,Tooth.TOOTH
56,70,1836,802,30,30,Tooth.GAP
57,43,1844,836,48,40,Tooth.TOOTH
58,44,1880,872,49,43,Tooth.TOOTH
59,45,1883,917,48,40,Tooth.TOOTH
60,46,1906,971,48,40,Tooth.TOOTH
61,47,1949,1011,36,35,Tooth.TOOTH
62,69,1970,1042,30,30,Tooth.TOOTH
63,48,1979,1078,64,44,Tooth.TOOTH
64,49,1983,1137,36,35,Tooth.TOOTH
65,68,2016,1168,30,30,Tooth.TOOTH
66,50,2020,1205,38,64,Tooth.TOOTH
67,51,2039,1268,36,35,Tooth.TOOTH
68,52,2074,1295,64,44,Tooth.TOOTH
69,53,2093,1337,64,44,Tooth.TOOTH
70,54,2110,1380,64,44,Tooth.TOOTH
71,55,2124,1421,49,43,Tooth.TOOTH
72,56,2146,1465,64,44,Tooth.TOOTH
73,67,2169,1516,30,30,Tooth.TOOTH
74,57,2181,1551,64,44,Tooth.TOOTH
75,66,2200,1594,30,30,Tooth.TOOTH
76,65,2221,1642,30,30,Tooth.TOOTH
77,64,2242,1680,30,30,Tooth.TOOTH
78,63,2261,1729,30,30,Tooth.TOOTH
79,61,2271,1773,30,30,Tooth.TOOTH
80,62,2281,1809,30,30,Tooth.TOOTH
81,58,2307,1851,38,60,Tooth.TOOTH
