,x,y
0,1490,53
1,1475,263
2,1431,317
3,1289,319
4,1393,332
5,1176,343
6,1499,359
7,1258,391
8,1093,392
9,1418,394
10,1630,432
11,1455,444
12,1022,463
13,1680,472
14,974,492
15,1380,492
16,943,529
17,1757,538
18,1832,556
19,910,566
20,1827,618
21,848,650
22,1853,660
23,813,696
24,1881,703
25,2020,727
26,792,741
27,1904,749
28,767,790
29,1929,797
30,740,836
31,1956,846
32,719,881
33,1978,894
34,700,926
35,2000,937
36,672,967
37,2022,979
38,655,1010
39,873,1011
40,2041,1022
41,627,1057
42,2057,1063
43,604,1096
44,2006,1110
45,586,1139
46,2091,1144
47,569,1180
48,2108,1187
49,702,1189
50,551,1220
51,2127,1226
52,536,1261
53,2142,1267
54,704,1291
55,514,1300
56,2159,1310
57,494,1343
58,2178,1349
59,2185,1395
60,464,1419
61,2206,1433
62,444,1464
63,587,1471
64,427,1507
65,2238,1515
66,408,1552
67,535,1559
68,392,1593
69,2269,1597
70,373,1633
71,2288,1640
72,2305,1684
73,339,1715
74,2320,1729
75,320,1757
76,2408,1790
77,2344,1797
78,305,1798
79,209,1844
80,286,1844
81,2364,1856
82,268,1886
