,x,y
0,1534,54
1,1195,71
2,1341,71
3,1396,77
4,1297,80
5,1455,99
6,1590,101
7,1499,114
8,1082,135
9,1550,143
10,1035,158
11,1597,173
12,964,229
13,1666,265
14,900,294
15,1754,325
16,860,353
17,1782,362
18,833,387
19,1813,405
20,808,423
21,777,472
22,1864,492
23,754,512
24,1889,542
25,731,561
26,683,650
27,684,710
28,2004,759
29,624,782
30,2024,805
31,621,844
32,2042,846
33,563,911
34,2136,936
35,544,955
36,524,994
37,2011,1007
38,506,1036
39,490,1079
40,2147,1091
41,2164,1131
42,458,1160
43,438,1200
44,404,1286
45,2234,1296
46,386,1329
47,373,1372
48,253,1379
49,2349,1439
50,338,1457
51,2301,1467
52,320,1501
53,2315,1508
54,212,1518
55,2336,1555
56,287,1581
57,2362,1624
58,266,1627
59,250,1671
60,2383,1673
61,152,1709
62,2401,1716
63,237,1717
64,222,1760
65,2449,1790
66,204,1805
67,2456,1861
68,209,1863
69,433,1880
70,83,1883
71,285,1887
